models=Nomadic	selected=Random Walk	walkingtime=20	selected=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	maxpausetime=10	minspeed=5	selected=squarereflect	height=500	width=500	maxspeed=10	selected=NullPowerAlgorithm	locationinitializer=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	adr=0.05	maps=squarereflect	height=500	width=500	leadersmodeloffset=0.0,0.0,	sdr=0.05	pergrouprange=false	extratraces=true	groupsizes=102,103,	rangealgorithms=NullPowerAlgorithm	maxinitialdistance=30	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=50	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range	GroupNumber	Is Leader
1	0	350	430	9.25	5.03	0	0	true
1	1	344	404	9.62	4.74	0	0	false
1	2	321	416	8.99	4.8	0	0	false
1	3	344	419	9.05	5.26	0	0	false
1	4	344	447	9.68	5.11	0	0	false
1	5	330	401	9.43	4.72	0	0	false
1	6	342	407	9.17	4.87	0	0	false
1	7	353	421	9.58	5.33	0	0	false
1	8	336	445	8.91	5.22	0	0	false
1	9	326	427	8.79	5.19	0	0	false
1	10	346	459	9.24	5.09	0	0	false
1	11	353	436	8.92	4.94	0	0	false
1	12	348	423	9.21	4.92	0	0	false
1	13	346	420	9.56	5.09	0	0	false
1	14	342	441	9.08	4.89	0	0	false
1	15	330	436	9.55	5.22	0	0	false
1	16	373	417	8.91	5.21	0	0	false
1	17	369	457	8.88	5.11	0	0	false
1	18	360	432	9.09	5.27	0	0	false
1	19	348	440	9.18	5.01	0	0	false
1	20	341	446	9.15	5.31	0	0	false
1	21	360	403	9.19	4.92	0	0	false
1	22	346	447	9.45	5.27	0	0	false
1	23	334	441	8.86	5.14	0	0	false
1	24	324	428	9.57	5.21	0	0	false
1	25	375	444	9.16	4.94	0	0	false
1	26	340	400	9.58	4.78	0	0	false
1	27	272	31	9.66	5.29	0	1	true
1	28	277	3	9.22	5.45	0	1	false
1	29	291	8	9.92	5.19	0	1	false
1	30	301	57	9.59	5.4	0	1	false
1	31	267	7	9.32	5.21	0	1	false
1	32	291	9	9.34	5.28	0	1	false
1	33	287	18	9.99	5.37	0	1	false
1	34	277	45	9.52	4.99	0	1	false
1	35	303	22	9.78	5.45	0	1	false
1	36	251	13	9.78	5.49	0	1	false
1	37	264	36	9.73	5.56	0	1	false
1	38	292	28	9.74	5.28	0	1	false
1	39	263	12	10.12	5.2	0	1	false
1	40	256	62	9.95	5.16	0	1	false
1	41	264	33	9.54	5.14	0	1	false
1	42	282	14	9.5	5.36	0	1	false
1	43	266	59	10.01	5.27	0	1	false
1	44	279	26	9.22	5.1	0	1	false
1	45	246	53	9.32	5.36	0	1	false
1	46	268	37	9.47	5.09	0	1	false
